==Stats== 
Total watch time: 624.066667 hours 
Most active date: 2/8/16 -- 19 episodes -- New Girl -- 6.966667 hours 
Show with most watch time: White Collar -- 121.50 hours 
==SHOWS/MOVIES== 
50 First Dates - Views: 1, Type: Movie, Watch time: 1.76 hours 
Arrow - Views: 60, Type: TV Show, Watch time: 45.00 hours 
Batman - Views: 1, Type: Movie, Watch time: 2.10 hours 
Bones - Views: 104, Type: TV Show, Watch time: 69.33 hours 
Captain America: Civil War - Views: 1, Type: Movie, Watch time: 2.50 hours 
Chuck - Views: 19, Type: TV Show, Watch time: 14.25 hours 
DC's Legends of Tomorrow - Views: 16, Type: TV Show, Watch time: 11.20 hours 
Dear Frankie - Views: 1, Type: Movie, Watch time: 1.75 hours 
Europa Report - Views: 1, Type: Movie, Watch time: 1.61 hours 
Family Guy - Views: 3, Type: TV Show, Watch time: 1.10 hours 
Fargo - Views: 1, Type: Movie, Watch time: 1.63 hours 
Firefly - Views: 14, Type: TV Show, Watch time: 10.26 hours 
Game of Thrones - Views: 17, Type: TV Show, Watch time: 18.42 hours
Gotham - Views: 1, Type: TV Show, Watch time: 0.70 hours 
Hitch - Views: 1, Type: Movie, Watch time: 1.96 hours 
Home - Views: 1, Type: Movie, Watch time: 1.56 hours 
How I Met Your Mother - Views: 184, Type: TV Show, Watch time: 67.46 hours 
Kate & Leopold - Views: 1, Type: Movie, Watch time: 2.5 hours 
Legends of Tomorrow - Views: 39, Type: TV Show, Watch time: 29.25 hours
Love Actually - Views: 1, Type: Movie, Watch time: 2.41 hours 
Marvel's Daredevil - Views: 21, Type: TV Show, Watch time: 18.90 hours 
Marvel's Jessica Jones - Views: 13, Type: TV Show, Watch time: 11.26 hours 
Marvel's Luke Cage - Views: 13, Type: TV Show, Watch time: 11.91 hours 
Marvel's The Defenders - Views: 8, Type: TV Show, Watch time: 6.66 hours 
Marvel's The Punisher - Views: 13, Type: TV Show, Watch time: 11.26 hours 
Mr. Robot - Views: 10, Type: TV Show, Watch time: 7.5 hours
New Girl - Views: 94, Type: TV Show, Watch time: 34.46 hours 
One-Punch Man - Views: 1, Type: TV Show, Watch time: 0.40 hours 
Orange Is the New Black - Views: 6, Type: TV Show, Watch time: 5.40 hours 
Pokémon: Indigo League - Views: 18, Type: TV Show, Watch time: 6.60 hours 
Psych - Views: 120, Type: TV Show, Watch time: 90.0 hours 
Red Dawn - Views: 1, Type: Movie, Watch time: 1.93 hours 
Revolution - Views: 20, Type: TV Show, Watch time: 14.33 hours 
Seinfeld - Views: 110, Type: TV Show, Watch time: 36.67 hours
Serenity - Views: 1, Type: Movie, Watch time: 2.0 hours 
Sherlock - Views: 9, Type: TV Show, Watch time: 12.90 hours 
Spotlight - Views: 1, Type: Movie, Watch time: 2.13 hours 
Star Wars: The Clone Wars - Views: 15, Type: TV Show, Watch time: 5.50 hours 
Stranger Things - Views: 3, Type: TV Show, Watch time: 2.50 hours 
Supergirl - Views: 42, Type: TV Show, Watch time: 31.5 hours
The Avengers - Views: 1, Type: Movie, Watch time: 2.38 hours 
The Big Bang Theory - Views: 231, Type: TV Show, Watch time: 77 hours
The Blacklist - Views: 63, Type: TV Show, Watch time: 47.25 hours 
The Croods - Views: 1, Type: Movie, Watch time: 1.63 hours 
The Flash - Views: 53, Type: TV Show, Watch time: 39.75 hours
The Firm - Views: 1, Type: Movie, Watch time: 2.56 hours 
The Hunger Games - Views: 1, Type: Movie, Watch time: 2.36 hours 
The IT Crowd - Views: 1, Type: TV Show, Watch time: 0.40 hours 
The Nut Job - Views: 1, Type: Movie, Watch time: 1.66 hours 
The Office (U.S.) - Views: 2, Type: TV Show, Watch time: 0.73 hours 
The Starving Games - Views: 1, Type: Movie, Watch time: 0.0 hours 
The Walking Dead - Views: 37, Type: TV Show, Watch time: 27.75 hours 
Tomorrow, When The War Began - Views: 1, Type: Movie, Watch time: 1.73 hours 
White Collar - Views: 162, Type: TV Show, Watch time: 121.50 hours 
